timestamp,open,high,low,close,volume,returns,rolling_mean,rolling_std,upper_band,lower_band,proba_sell,proba_hold,proba_buy,predicted_signal
2017-08-17 23:00:00,306.74,310.85,302.0,302.0,229.6062,-0.015452826498011385,306.59000000000003,2.868368323996274,312.32673664799256,300.8532633520075,0.01,0.3,0.69,1
2017-08-18 00:00:00,302.0,306.2,297.4,301.19,501.26558,-0.002682119205298039,306.569,2.908010533536258,312.38502106707256,300.7529789329275,0.02,0.95,0.03,0
2017-08-18 01:00:00,300.08,305.55,295.19,298.73,374.41661,-0.00816760184601073,306.3505,3.3176965296961427,312.9858930593923,299.7151069406077,0.01,0.89,0.1,0
2017-08-18 02:00:00,298.73,304.7,298.73,300.52,208.96849,0.0059920329394436145,306.24249999999995,3.4749023083579673,313.1923046167159,299.292695383284,0.02,0.95,0.03,0
2017-08-18 03:00:00,300.05,306.47,300.05,301.4,605.93251,0.002928257686676483,305.9145,3.6111836155564205,313.13686723111283,298.6921327688871,0.02,0.95,0.03,0
2017-08-18 04:00:00,301.4,302.95,298.41,301.8,444.33795,0.0013271400132714994,305.57349999999997,3.663878122254729,312.9012562445094,298.24574375549054,0.02,0.95,0.03,0
2017-08-18 05:00:00,301.8,305.92,300.0,304.7,525.33357,0.009609012591119903,305.3085,3.515534360819884,312.33956872163975,298.2774312783602,0.25,0.75,0.0,-1
2017-08-18 06:00:00,304.7,307.0,303.21,307.0,356.1222,0.007548408270430018,305.1935,3.4142522877213577,312.0220045754427,298.36499542455726,0.04,0.94,0.02,0
2017-08-18 07:00:00,307.0,309.49,305.23,306.24,406.73244,-0.00247557003257326,305.058,3.309491294984615,311.6769825899692,298.4390174100308,0.02,0.95,0.03,0
2017-08-18 08:00:00,306.24,310.85,303.79,304.23,313.23742,-0.00656347962382442,304.83849999999995,3.204733793033438,311.2479675860668,298.4290324139331,0.02,0.95,0.03,0
2017-08-18 09:00:00,304.23,307.72,303.22,304.71,306.05941,0.0015777536732075603,304.604,3.0196329508558915,310.64326590171174,298.5647340982882,0.02,0.95,0.03,0
